Rule,Diagnostic Message,Records,Explanation
Define-XML 65,ItemRef/@ItemOID must reference an existing ItemDef,0,No findings.
Define-XML 73,MethodOID required when Origin Type is 'Derived',17,"Missing MethodOID: IT.DM.RFSTDTC, IT.DM.RFENDTC, IT.DM.RFXSTDTC, IT.DM.RFXENDTC, IT.DM.RFPENDTC, IT.DM.DTHFL, IT.LB.LBSEQ, IT.LB.LBSTRESC, IT.LB.LBSTRESN, IT.LB.LBSTRESN.ALT.ALT, IT.LB.LBSTRESN.CREAT.CREAT, IT.LB.LBSTRESN.GLUC.GLUC, IT.LB.LBSTRESN.HBA1C.HBA1C, IT.LB.LBSTRESU, IT.LB.LBSTNRLO, IT.LB.LBSTNRHI, IT.LB.LBDRVFL"
